data,method,query proportion,latent dimension,layers number,flows layers number,s dimension proportion,lambda kl,lambda sparsity,lambda mask,dropout,normalisation,learning rate,flows,recon loss,NMI,ARI,ASW label,ASW batch,PCR,ILS,GRA,score,cost
pancreas,iVAE,0.2,10,4,2,0.2,1,0.001,0,0,batch,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.489729757,0.883755553,0.681050027,0.502632791,0.786418884,0.675872613,794.144773
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0,0,0.05,batch,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.537069038,0.703829069,0.436813483,0.80072704,0.786418884,0.664625542,348.294353
pancreas,iVAE,0.2,10,4,2,0.5,1,0,0,0,,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.514670547,0.882473892,0.661935209,0.417690195,0.786418884,0.664387144,737.056489
pancreas,iVAE,0.2,10,4,2,0.2,1,0,0,0,,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.503290689,0.910364886,0.584252476,0.475998893,0.786418884,0.663978158,275.977351
pancreas,iVAE,0.2,10,4,2,0.2,1,0,0,0.05,,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.494004844,0.904149952,0.68291335,0.377661534,0.786418884,0.661809978,271.0541599
pancreas,iVAE,0.2,10,4,2,0.2,1,0,0,0.05,batch,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.479465825,0.907300319,0.6948196,0.368230239,0.786418884,0.660536593,352.9103758
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0.001,0,0.05,batch,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.470289202,0.917526577,0.57847678,0.429565631,0.786418884,0.652828337,675.865289
pancreas,iVAE,0.2,10,4,2,0.5,0.1,0.001,0,0,batch,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.490282712,0.725880244,0.770720448,0.349713683,0.786418884,0.644362464,3907.404737
pancreas,iVAE,0.2,10,4,2,0.5,1,0,0,0,,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.50621238,0.903179125,0.52485098,0.387440763,0.786418884,0.642231916,741.5711579
pancreas,iVAE,0.2,10,4,2,0.2,1,0.001,0,0,,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.530965183,0.883894872,0.408661839,0.396857634,0.786418884,0.627759956,676.8875828
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0,0,0,batch,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.52886139,0.695746257,0.364738019,0.508142833,0.786418884,0.610204095,352.9662852
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0,0,0.05,,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.618183769,0.76889742,0.25128895,0.449307278,0.786418884,0.608802512,266.9443042
pancreas,iVAE,0.2,10,4,2,0.5,0.1,0.001,0,0,,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.57604178,0.750857111,0,0.758976758,0.786418884,0.608545116,906.0705647
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0.001,0,0,,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.653557226,0.686614267,0.272465537,0.429726161,0.786418884,0.602329051,539.467495
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0,0,0.05,,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.583408691,0.628315731,0,0.743644178,0.786418884,0.589901252,267.3341098
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0.001,0,0,batch,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.574112609,0.642402968,0,0.699460879,0.786418884,0.584273803,638.7832909
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0,0,0,batch,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.568549529,0.65667057,0,0.657283872,0.786418884,0.579492019,352.143775
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0,0,0.05,batch,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.567957953,0.762119937,0,0.495837081,0.786418884,0.571407876,348.9678888
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0.001,0,0,,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.620877132,0.662805926,0,0.508960274,0.786418884,0.566654785,549.4305582
pancreas,iVAE,0.2,10,4,2,0.5,0.1,0.001,0,0,,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.565844573,0.770309286,0,0.426445745,0.786418884,0.562362824,885.8666382
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0,0,0,,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.61994864,0.637273227,0,0.471939713,0.786418884,0.557585964,267.0229089
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0,0,0,,0.0005,quadraticspine,mse,0.731637383,0.655883898,0.641218036,0.628439336,0,0.380145349,0.786418884,0.546248984,271.6121469
pancreas,iVAE,0.2,10,4,2,0.2,0.1,0.001,0,0,batch,0.0001,quadraticspine,mse,0.731637383,0.655883898,0.570031792,0.677426968,0,0.343596935,0.786418884,0.537856552,657.0859132
