data,query proportion,latent dimension,recon loss,layers number,flows layers number,s dimension proportion,embedding dim,hidden dim,lambda kl,lambda sparsity,lambda mask,lambda clas,pretrain_epoch_rate,full embedding,dropout rate,normalisation,learning rate,flows,NMI,ARI,ASW label,ASW batch,PCR,ILS,GRA,score,f1 weighted,f1 macro,cost
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.05,,0.0001,quadraticspline,0.6029605668728,0.5282138631805201,0.5160184632986784,0.6848115611451292,0.7345135374966653,0.4485254572847715,0.7566212494683645,0.6102378141067042,0.3293359880738857,0.08634378971937826,2086.573624610901
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.05,,0.0001,spline,0.6029605668728,0.5282138631805201,0.5055828443728387,0.5523075008670637,0.6107067657136549,0.4721251755522994,0.7566212494683645,0.575502566575363,0.30034349782511144,0.10147327534154307,3872.5351388454437
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.05,,0.0005,quadraticspline,0.6029605668728,0.5282138631805201,0.6138904169201851,0.7006426861631622,0.7593797204260876,0.4553681586224299,0.7566212494683645,0.6310109516647928,0.3964827031244375,0.14656776632810148,200.92910599708557
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.05,,0.0005,spline,0.6029605668728,0.5282138631805201,0.6793607026338577,0.684194496114454,0.8494015524713143,0.5303879939736083,0.7566212494683645,0.6615914892449883,0.4932830530832414,0.20114358764027507,282.9526550769806
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.05,batch,0.0001,quadraticspline,0.6029605668728,0.5282138631805201,0.5724909603595734,0.7159971445037502,0.8501996680977607,0.4555955256980199,0.7566212494683645,0.6402969968829698,0.45404004759695904,0.16521734615583947,251.55944514274597
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.05,batch,0.0001,spline,0.6029605668728,0.5282138631805201,0.5448437370359898,0.6994568539659611,0.3616354208746423,0.5015325543040839,0.7566212494683645,0.5707520351003373,0.598971584053086,0.30522378867414984,330.08245301246643
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.05,batch,0.0005,quadraticspline,0.6029605668728,0.5282138631805201,0.619995079934597,0.6882519477833562,0.8119052802937508,0.4610749969545465,0.7566212494683645,0.638431854926848,0.6200673897176555,0.22732836809084211,221.49546909332275
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.05,batch,0.0005,spline,0.6029605668728,0.5282138631805201,0.6661603599786758,0.7544255369774434,0.8983823965224701,0.4830530879016106,0.7566212494683645,0.6699738658431263,0.614915011566599,0.20883639667992615,287.9546887874603
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.0,,0.0001,quadraticspline,0.6029605668728,0.5282138631805201,0.5342075638473034,0.6635458515864285,0.6118966402956781,0.47136274135062617,0.7566212494683645,0.5955440680859602,0.39812502359832497,0.13725344026120576,206.29609298706055
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.0,,0.0001,spline,0.6029605668728,0.5282138631805201,0.5212519057095051,0.579143612869491,0.2259158917906502,0.46980590749388706,0.7566212494683645,0.5262732853407454,0.2454122831794708,0.07507661897658109,249.44702434539795
pancreas,0.2,10,nb,4,2,0.5,5,32,1,0.001,0,1,0.0,True,0.0,,0.0005,quadraticspline,0.6029605668728,0.5282138631805201,0.7072919011116028,0.6789338242503231,0.7939903932373809,0.5452902140812232,0.7566212494683645,0.6590431446003163,0.48569516573349114,0.19102686946667952,170.6112470626831
