best_mcc,best_r2,best_sum_mcc,best_sum_r2,epoch,mcc_at_best_r2,r2_at_best_mcc,step,train_elbo_loss,train_kld_content,train_kld_style,train_recon_loss,val_elbo_loss,val_kld_content,val_kld_style,val_mcc,val_r2,val_recon_loss
,,,,0,,,49,326.5173034667969,7.282171726226807,8.588212013244629,318.5821228027344,,,,,,
,,,,0,,,99,112.53050231933594,7.218790054321289,8.119155883789062,104.86152648925781,,,,,,
,,,,0,,,149,82.42385864257812,6.010385036468506,7.6365251541137695,75.60040283203125,,,,,,
,,,,1,,,199,72.95240020751953,6.723530292510986,8.024049758911133,65.57861328125,,,,,,
,,,,1,,,249,52.20185089111328,6.50959587097168,6.256479740142822,45.81881332397461,,,,,,
,,,,1,,,299,43.72800064086914,6.81257438659668,4.981017589569092,37.83120346069336,,,,,,
,,,,1,,,349,42.09868621826172,5.943009853363037,2.8408470153808594,37.706756591796875,,,,,,
,,,,2,,,399,31.566761016845703,6.142920017242432,3.225538492202759,26.882530212402344,,,,,,
,,,,2,,,449,37.3367805480957,6.384231090545654,3.1173508167266846,32.58599090576172,,,,,,
,,,,2,,,499,31.59541893005371,5.698431015014648,2.811006784439087,27.340700149536133,,,,,,
,,,,2,,,549,31.75627899169922,5.388128280639648,2.4397878646850586,27.84231948852539,,,,,,
,,,,3,,,599,30.416826248168945,5.501201152801514,3.179751396179199,26.07634925842285,,,,,,
,,,,3,,,649,29.473718643188477,5.76911735534668,2.7731435298919678,25.202587127685547,,,,,,
,,,,3,,,699,23.520051956176758,5.809901714324951,2.6180002689361572,19.306100845336914,,,,,,
,,,,3,,,749,21.592342376708984,5.497899055480957,2.943779230117798,17.371503829956055,,,,,,
,,,,4,,,799,18.094026565551758,5.11937141418457,2.634974241256714,14.216853141784668,,,,,,
,,,,4,,,849,19.725658416748047,5.581662654876709,3.2987232208251953,15.2854642868042,,,,,,
,,,,4,,,899,15.282393455505371,4.957651615142822,2.2253692150115967,11.69088363647461,,,,,,
,,,,4,,,949,17.245594024658203,4.81999397277832,2.6026487350463867,13.534273147583008,,,,,,
,,,,5,,,999,17.56031608581543,5.037404537200928,2.9635629653930664,13.559833526611328,,,,,,
,,,,5,,,1049,17.95529556274414,5.229386806488037,2.646376371383667,14.017414093017578,,,,,,
,,,,5,,,1099,18.12902069091797,5.066798686981201,2.455112934112549,14.368064880371094,,,,,,
,,,,5,,,1149,18.27468490600586,4.800597190856934,3.030244827270508,14.359265327453613,,,,,,
,,,,6,,,1199,14.488710403442383,4.7654619216918945,2.272078514099121,10.969940185546875,,,,,,
,,,,6,,,1249,17.906692504882812,4.787633419036865,2.437483072280884,14.294134140014648,,,,,,
,,,,6,,,1299,17.0546817779541,5.084048271179199,2.2580037117004395,13.383655548095703,,,,,,
,,,,6,,,1349,17.76418685913086,4.919295787811279,2.5395619869232178,14.034758567810059,,,,,,
,,,,7,,,1399,18.986120223999023,4.819563388824463,2.9683024883270264,15.092185974121094,,,,,,
,,,,7,,,1449,15.624663352966309,4.929775714874268,2.4015307426452637,11.959010124206543,,,,,,
,,,,7,,,1499,15.79616641998291,4.700227737426758,2.083915948867798,12.404094696044922,,,,,,
,,,,7,,,1549,14.43757152557373,4.697636604309082,2.1353278160095215,11.021089553833008,,,,,,
,,,,8,,,1599,17.161916732788086,4.329596042633057,2.074172019958496,13.960031509399414,,,,,,
,,,,8,,,1649,16.66889762878418,4.398468017578125,2.4108734130859375,13.264226913452148,,,,,,
,,,,8,,,1699,14.795502662658691,5.052496433258057,2.380458354949951,11.079025268554688,,,,,,
,,,,8,,,1749,17.338787078857422,4.438333511352539,2.2569382190704346,13.991150856018066,,,,,,
,,,,9,,,1799,12.74683666229248,4.757763385772705,2.466299057006836,9.134805679321289,,,,,,
,,,,9,,,1849,14.047460556030273,4.561756610870361,2.359328508377075,10.586917877197266,,,,,,
,,,,9,,,1899,13.120807647705078,4.8512139320373535,2.110135316848755,9.640132904052734,,,,,,
,,,,9,,,1949,13.6414155960083,5.243919849395752,2.5285394191741943,9.755186080932617,,,,,,
,,,,10,,,1999,10.186897277832031,5.249808311462402,2.693298816680908,6.215343475341797,,,,,,
,,,,10,,,2049,10.024911880493164,5.103986740112305,2.9967074394226074,5.974564075469971,,,,,,
,,,,10,,,2099,8.660284042358398,5.060273170471191,3.0081546306610107,4.626070022583008,,,,,,
,,,,10,,,2149,7.510100841522217,4.849985122680664,2.5876379013061523,3.7912893295288086,,,,,,
,,,,11,,,2199,6.899592876434326,4.709595680236816,3.01562762260437,3.0369808673858643,,,,,,
,,,,11,,,2249,6.411665439605713,4.975863456726074,2.762986421585083,2.542240858078003,,,,,,
,,,,11,,,2299,7.106863975524902,4.720093727111816,2.9939467906951904,3.2498435974121094,,,,,,
,,,,11,,,2349,6.634058952331543,4.617802143096924,2.8209195137023926,2.9146981239318848,,,,,,
,,,,12,,,2399,6.356985569000244,4.740812301635742,2.7312517166137695,2.620953321456909,,,,,,
,,,,12,,,2449,6.059327125549316,4.628218650817871,3.0887300968170166,2.200852632522583,,,,,,
