epoch,step,train_elbo_loss,train_kld_content,train_kld_style,train_recon_loss
0,49,112.46539306640625,2.8951709270477295,12.331275939941406,104.85216522216797
0,99,92.51815032958984,2.362582206726074,9.08048152923584,86.79662322998047
0,149,39.64182662963867,3.4400558471679688,6.186132431030273,34.828731536865234
1,199,37.29071044921875,3.319809913635254,5.727936267852783,32.76683807373047
1,249,25.376039505004883,2.8687562942504883,5.324045658111572,21.279638290405273
1,299,31.850543975830078,3.6232662200927734,6.122659206390381,26.977581024169922
1,349,24.423368453979492,3.4937872886657715,5.226433753967285,20.06325912475586
2,399,21.37148094177246,3.471238136291504,5.271071910858154,17.00032615661621
2,449,18.286537170410156,3.5425076484680176,5.1953582763671875,13.91760540008545
2,499,20.048675537109375,3.272195339202881,5.1452460289001465,15.83995532989502
2,549,17.539846420288086,3.6357951164245605,4.792842864990234,13.32552719116211
3,599,19.920381546020508,2.9122650623321533,4.925776481628418,16.001359939575195
3,649,14.673498153686523,3.1308844089508057,4.910091876983643,10.653010368347168
3,699,14.674528121948242,3.5628106594085693,4.874305725097656,10.45596981048584
3,749,10.194620132446289,3.932025671005249,4.950443744659424,5.753385066986084
4,799,9.794594764709473,3.965153217315674,4.761373996734619,5.431331157684326
4,849,6.798793792724609,4.011924743652344,4.665548324584961,2.460057497024536
4,899,6.822256088256836,4.327648162841797,4.7522454261779785,2.2823097705841064
4,949,7.605164051055908,4.156179428100586,4.736105918884277,3.1590216159820557
5,999,6.93743371963501,4.1411027908325195,4.65634822845459,2.538707971572876
5,1049,6.589268207550049,4.180187702178955,4.480698585510254,2.2588253021240234
5,1099,6.29137659072876,3.8987550735473633,4.171603202819824,2.256197214126587
5,1149,7.931117057800293,4.2383928298950195,4.567188739776611,3.5283262729644775
6,1199,6.397110939025879,4.29186487197876,4.393931865692139,2.0542125701904297
6,1249,6.381834983825684,4.0640459060668945,4.668075084686279,2.0157744884490967
6,1299,6.207056999206543,4.184964656829834,4.550275802612305,1.8394370079040527
6,1349,5.754269599914551,4.104765892028809,4.672250270843506,1.3657618761062622
7,1399,5.662046909332275,3.822606325149536,4.369994163513184,1.565746545791626
7,1449,6.75209903717041,3.849701404571533,4.233908653259277,2.710294008255005
7,1499,5.542290687561035,3.8458895683288574,4.057855129241943,1.5904181003570557
7,1549,6.10322380065918,3.954298257827759,4.6866559982299805,1.7827469110488892
8,1599,5.782255172729492,3.907440662384033,4.394266128540039,1.6314018964767456
8,1649,6.2001519203186035,3.832152843475342,4.344154357910156,2.1119983196258545
8,1699,6.0045270919799805,3.7511565685272217,4.1230854988098145,2.067406415939331
8,1749,5.6421051025390625,3.769590139389038,4.083170413970947,1.7157251834869385
9,1799,6.190497875213623,4.202119827270508,4.360949516296387,1.9089630842208862
9,1849,5.732174873352051,3.9796359539031982,4.3701395988464355,1.5572870969772339
9,1899,6.3335652351379395,3.8643038272857666,4.30816650390625,2.2473299503326416
9,1949,6.191935062408447,3.5748138427734375,3.9081203937530518,2.450468063354492
10,1999,6.394536018371582,3.9107775688171387,4.4557037353515625,2.2112953662872314
10,2049,6.242850303649902,3.9057700634002686,4.308367729187012,2.1357812881469727
10,2099,6.145881652832031,3.917825698852539,4.2692694664001465,2.0523340702056885
10,2149,5.469417572021484,3.846421241760254,4.124984264373779,1.4837146997451782
11,2199,6.078451633453369,3.932297945022583,4.435568809509277,1.894518256187439
